carat,cut,color,clarity,depth,table,x,y,z,Expensive
0.75,Ideal,D,SI1,62.3,57.0,5.83,5.8,3.62,0
0.41,Ideal,G,VVS2,61.7,55.0,4.81,4.85,2.98,0
0.44,Very Good,J,VS1,63.2,57.0,4.86,4.82,3.06,0
1.01,Good,E,SI2,63.7,58.0,6.36,6.32,4.04,1
1.06,Ideal,H,VVS1,61.3,57.0,6.55,6.53,4.01,1
0.57,Ideal,G,VS1,62.3,53.7,5.32,5.35,3.32,0
0.29,Very Good,F,VVS1,62.3,58.0,4.22,4.25,2.64,0
0.55,Ideal,F,VS2,60.9,56.0,5.3,5.34,3.24,0
0.9,Good,I,VS2,63.8,55.0,6.07,6.16,3.9,1
0.31,Ideal,E,VS1,60.1,55.0,4.42,4.53,2.69,0
1.1,Premium,G,VS1,58.4,60.0,6.85,6.81,3.99,1
1.72,Premium,H,SI1,61.8,62.0,7.63,7.52,4.73,1
1.64,Premium,G,VS2,62.4,58.0,7.49,7.52,4.68,1
0.43,Premium,E,SI2,61.2,59.0,4.89,4.82,2.97,0
1.5,Good,J,VS2,61.7,56.0,7.23,7.33,4.49,1
0.3,Premium,G,VS2,61.8,60.0,4.29,4.25,2.64,0
2.1,Very Good,I,VS2,59.4,60.0,8.39,8.47,5.01,1
0.46,Ideal,I,VVS2,61.4,57.0,4.96,5.0,3.06,0
0.51,Ideal,G,VS1,61.8,56.0,5.1,5.15,3.17,0
0.42,Good,D,SI2,63.2,57.0,4.75,4.77,3.01,0
1.03,Ideal,H,SI1,61.7,57.0,6.47,6.53,4.01,1
0.81,Ideal,E,SI2,60.1,57.0,6.07,6.1,3.66,1
0.9,Very Good,F,SI1,62.3,55.0,6.14,6.18,3.84,1
1.01,Premium,G,SI2,61.9,60.0,6.37,6.33,3.93,1
0.61,Ideal,J,SI1,62.0,55.0,5.45,5.48,3.39,0
0.9,Very Good,J,VS1,62.4,58.0,6.15,6.19,3.85,1
1.01,Good,E,SI2,63.7,58.0,6.32,6.36,4.04,1
0.3,Ideal,D,VS2,62.5,54.0,4.29,4.32,2.69,0
0.31,Ideal,F,VS2,62.6,57.0,4.33,4.29,2.7,0
0.54,Ideal,G,VS2,61.9,57.0,5.23,5.18,3.22,0
0.55,Ideal,F,VS1,61.6,57.0,5.23,5.29,3.24,0
0.37,Premium,E,VVS2,59.6,60.0,4.75,4.68,2.81,0
1.41,Ideal,J,SI1,62.3,55.0,7.18,7.21,4.48,1
1.14,Ideal,H,SI1,61.6,56.0,6.72,6.74,4.14,1
0.45,Fair,E,VS2,61.8,58.0,4.81,4.74,3.14,0
0.32,Ideal,G,VS2,61.8,57.0,4.4,4.37,2.71,0
0.5,Very Good,E,VVS2,60.9,59.0,5.07,5.11,3.1,0
0.93,Premium,H,SI1,61.8,59.0,6.23,6.27,3.86,1
0.56,Very Good,I,SI1,61.8,56.0,5.22,5.3,3.25,0
0.31,Premium,G,VS2,61.7,58.0,4.34,4.32,2.67,0
0.71,Fair,G,SI1,65.5,55.0,5.59,5.56,3.65,0
0.3,Very Good,F,VS2,62.7,58.0,4.25,4.3,2.68,0
1.52,Premium,J,VS1,62.0,59.0,7.34,7.36,4.56,1
0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,0
0.38,Very Good,E,IF,62.5,59.0,4.61,4.64,2.89,0
0.31,Ideal,F,VVS1,62.1,54.0,4.37,4.39,2.72,0
1.01,Premium,G,VS2,60.7,61.0,6.46,6.42,3.91,1
1.7,Good,J,VS2,62.4,61.0,7.47,7.53,4.68,1
0.27,Ideal,D,VVS1,61.7,57.0,4.2,4.16,2.58,0
1.17,Ideal,F,VS2,61.8,55.0,6.74,6.81,4.19,1
1.0,Very Good,H,SI2,62.0,57.0,6.4,6.34,3.95,1
0.26,Good,D,VS2,65.2,56.0,3.99,4.02,2.61,0
0.32,Ideal,I,VVS1,61.4,56.0,4.42,4.44,2.72,0
0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,0
0.42,Very Good,F,SI2,61.5,59.0,4.81,4.85,2.97,0
0.57,Ideal,G,VVS2,61.7,54.0,5.32,5.41,3.31,0
0.32,Very Good,I,VS2,63.2,56.0,4.38,4.32,2.75,0
1.02,Ideal,H,SI1,59.9,56.0,6.54,6.51,3.91,1
2.02,Ideal,H,SI2,62.4,56.0,8.14,8.04,5.06,1
0.31,Ideal,D,SI1,62.9,57.0,4.32,4.27,2.7,0
1.51,Ideal,I,SI1,61.2,60.0,7.39,7.37,4.52,1
1.7,Ideal,J,VS2,62.5,57.0,7.6,7.63,4.76,1
0.23,Very Good,E,VVS1,61.1,60.0,3.95,4.01,2.43,0
0.42,Ideal,D,VS1,62.1,56.0,4.78,4.82,2.98,0
0.71,Ideal,I,SI1,61.9,55.0,5.7,5.74,3.54,0
0.34,Ideal,G,IF,61.6,56.0,4.48,4.51,2.77,0
1.12,Premium,H,VS1,59.6,57.0,6.82,6.77,4.05,1
1.03,Ideal,J,SI1,62.1,55.0,6.46,6.51,4.03,1
0.31,Ideal,J,SI1,61.3,56.0,4.37,4.4,2.69,0
0.9,Good,H,SI2,63.5,58.0,6.09,6.14,3.88,0
0.3,Ideal,I,SI2,62.0,55.0,4.32,4.33,2.68,0
0.32,Ideal,G,SI1,62.5,55.0,4.38,4.35,2.73,0
0.23,Ideal,E,VVS2,62.8,57.0,3.91,3.96,2.47,0
0.37,Good,H,SI1,64.0,55.0,4.53,4.57,2.91,0
1.13,Ideal,I,VS2,62.3,56.0,6.63,6.73,4.16,1
0.3,Ideal,G,VVS1,61.4,56.0,4.32,4.34,2.66,0
0.73,Ideal,I,VS2,61.9,56.0,5.77,5.82,3.59,0
0.26,Very Good,E,VVS2,60.5,55.0,4.1,4.16,2.5,0
2.0,Very Good,J,SI2,61.9,55.0,8.06,8.09,5.0,1
1.3,Ideal,I,SI1,62.3,58.0,6.94,7.0,4.34,1
0.51,Very Good,F,SI2,58.9,60.0,5.19,5.24,3.07,0
1.67,Premium,H,SI2,61.6,57.0,7.66,7.61,4.7,1
0.27,Ideal,E,VVS2,61.8,57.0,4.16,4.12,2.56,0
0.3,Premium,E,VS2,62.6,62.0,4.25,4.21,2.65,0
1.54,Premium,I,VS1,61.6,58.0,7.42,7.39,4.56,1
0.7,Ideal,G,SI1,61.9,58.0,5.66,5.69,3.51,0
1.11,Ideal,H,SI1,62.3,55.0,6.7,6.65,4.16,1
0.7,Very Good,D,VS2,59.6,61.0,5.77,5.8,3.45,0
0.37,Ideal,E,VVS2,61.8,54.0,4.61,4.64,2.86,0
0.3,Very Good,E,VS2,61.5,58.0,4.28,4.31,2.64,0
0.51,Ideal,H,VVS2,60.1,57.0,5.19,5.22,3.12,0
0.59,Very Good,F,SI1,63.0,56.0,5.3,5.34,3.35,0
0.42,Premium,F,SI1,61.8,58.0,4.84,4.81,2.98,0
0.55,Very Good,G,VS1,59.4,62.0,5.32,5.36,3.17,0
0.35,Premium,E,VS2,59.2,58.0,4.63,4.59,2.73,0
1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,1
0.4,Ideal,F,VVS1,61.3,56.0,4.76,4.73,2.91,0
0.32,Good,H,VS2,63.1,55.0,4.33,4.36,2.74,0
0.41,Premium,H,VS1,62.6,60.0,4.75,4.77,2.98,0
0.72,Ideal,D,SI1,61.5,54.0,5.77,5.8,3.56,0
1.04,Ideal,F,VS1,63.0,56.0,6.5,6.45,4.08,1
0.62,Ideal,F,VVS2,61.4,56.0,5.46,5.5,3.37,1
0.7,Premium,E,VS2,60.9,59.0,5.71,5.68,3.47,0
1.01,Fair,F,VS1,64.7,54.0,6.33,6.28,4.08,1
1.11,Ideal,G,VS2,61.2,56.0,6.65,6.68,4.08,1
1.0,Good,G,VS1,63.7,60.0,6.38,6.31,4.04,1
0.43,Ideal,E,VVS2,62.0,57.0,4.87,4.84,3.01,0
1.01,Very Good,G,VS2,61.4,59.0,6.42,6.48,3.96,1
0.79,Premium,E,VS2,62.1,59.0,5.9,5.86,3.65,1
1.07,Ideal,F,VVS2,62.3,57.0,6.56,6.58,4.09,1
0.73,Fair,D,SI2,65.5,60.0,5.64,5.54,3.66,0
1.21,Good,J,VS2,61.0,64.0,6.89,6.79,4.17,1
0.52,Fair,F,IF,64.6,58.0,5.04,5.17,3.3,0
0.32,Ideal,G,VS2,62.1,56.0,4.4,4.36,2.72,0
1.01,Premium,F,VS2,61.7,58.0,6.42,6.48,3.98,1
0.32,Ideal,G,VVS2,62.4,54.0,4.37,4.38,2.73,0
0.91,Ideal,D,VS2,60.9,57.0,6.26,6.32,3.83,1
1.28,Premium,H,SI2,61.9,56.0,7.02,6.94,4.32,1
0.31,Premium,E,SI1,59.2,60.0,4.42,4.36,2.6,0
1.04,Premium,F,SI1,62.8,57.0,6.5,6.43,4.06,1
0.41,Ideal,E,VVS2,61.4,57.0,4.76,4.79,2.93,0
1.14,Very Good,E,IF,63.3,57.0,6.63,6.71,4.22,1
0.7,Very Good,F,VVS1,63.3,56.0,5.7,5.64,3.59,1
1.01,Very Good,E,VS2,63.0,60.0,6.32,6.35,3.99,1
0.75,Ideal,D,SI1,61.1,56.0,5.85,5.9,3.59,1
0.31,Premium,H,SI1,58.7,60.0,4.47,4.43,2.61,0
0.83,Ideal,F,SI1,62.1,57.0,6.0,6.02,3.73,1
0.7,Very Good,E,VS1,62.5,56.0,5.64,5.68,3.54,1
0.23,Very Good,F,VVS1,60.7,55.0,3.98,4.0,2.42,0
0.58,Ideal,G,SI1,62.0,58.0,5.33,5.38,3.32,0
0.7,Ideal,I,VVS2,61.8,56.0,5.69,5.75,3.54,0
0.9,Good,E,SI2,61.9,62.0,6.14,6.18,3.81,1
0.32,Premium,F,VVS2,61.8,60.0,4.41,4.36,2.71,0
0.5,Very Good,F,VS1,62.9,58.0,5.05,5.09,3.19,0
1.51,Ideal,E,SI2,62.7,55.0,7.27,7.18,4.53,1
0.7,Ideal,D,SI1,61.7,57.0,5.76,5.73,3.54,1
0.54,Ideal,E,SI2,60.7,56.0,5.25,5.3,3.2,0
0.7,Very Good,F,SI2,59.6,61.0,5.8,5.88,3.48,0
0.7,Good,F,VS1,63.7,57.0,5.55,5.62,3.56,0
0.32,Ideal,E,VS2,62.0,57.0,4.37,4.41,2.72,0
1.49,Fair,H,I1,66.9,61.0,6.93,6.89,4.62,1
0.71,Ideal,H,VVS2,61.9,56.0,5.72,5.76,3.55,1
0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.6,0
0.31,Ideal,G,VVS1,61.9,55.0,4.36,4.3,2.68,0
0.9,Premium,G,SI2,58.3,60.0,6.39,6.33,3.71,1
0.71,Very Good,H,VS2,61.8,58.0,5.66,5.7,3.51,0
0.52,Ideal,G,VVS2,62.1,56.0,5.17,5.14,3.2,0
2.11,Very Good,H,SI2,61.5,60.0,8.22,8.3,5.08,1
0.7,Ideal,D,VS2,62.7,57.0,5.65,5.67,3.55,1
1.14,Premium,G,SI1,62.7,58.0,6.68,6.63,4.17,1
0.33,Ideal,G,VS1,61.7,56.0,4.47,4.44,2.75,0
0.56,Very Good,D,VVS1,62.0,56.0,5.25,5.3,3.27,0
0.58,Very Good,F,VS1,62.4,55.0,5.33,5.34,3.33,0
1.01,Very Good,E,VS1,60.4,60.0,6.43,6.48,3.9,1
0.31,Premium,J,VS2,62.4,60.0,4.33,4.29,2.69,0
1.0,Fair,H,SI2,67.0,55.0,6.25,6.12,4.16,0
0.71,Ideal,E,VS2,62.9,55.0,5.76,5.72,3.61,0
0.42,Very Good,E,SI2,61.8,56.0,4.77,4.8,3.01,0
0.7,Premium,E,VS2,59.5,59.0,5.82,5.77,3.45,0
0.71,Ideal,E,SI1,61.6,53.0,5.79,5.73,3.55,0
0.52,Premium,E,SI1,61.6,58.0,5.17,5.12,3.17,0
1.0,Ideal,I,VS2,62.6,54.0,6.39,6.35,3.99,1
0.38,Very Good,F,SI1,61.5,54.0,4.69,4.71,2.89,0
1.66,Premium,D,SI1,62.0,59.0,7.55,7.6,4.7,1
1.03,Ideal,G,VVS1,61.5,57.0,6.47,6.52,3.99,1
1.2,Very Good,I,SI1,62.2,55.0,6.75,6.92,4.25,1
1.0,Good,J,SI1,61.7,62.0,6.37,6.4,3.94,1
1.5,Very Good,J,VS2,62.4,60.0,7.21,7.32,4.53,1
1.05,Ideal,H,SI2,62.0,57.0,6.54,6.5,4.04,1
1.0,Premium,F,VVS1,61.0,60.0,6.39,6.43,3.91,1
0.33,Ideal,G,VS1,61.9,54.0,4.44,4.48,2.76,0
0.41,Very Good,J,IF,60.8,56.0,4.83,4.87,2.95,0
0.41,Premium,D,SI2,61.2,59.0,4.8,4.77,2.93,0
0.76,Ideal,D,VS2,61.2,57.0,5.91,5.89,3.61,1
0.3,Ideal,G,VVS2,62.5,53.8,4.26,4.3,2.68,0
1.1,Premium,F,VS1,60.9,61.0,6.7,6.64,4.06,1
0.71,Very Good,G,VVS2,61.2,58.0,5.68,5.72,3.49,1
0.27,Ideal,F,VVS2,60.0,62.0,4.21,4.22,2.53,0
1.06,Very Good,H,VS2,62.4,56.0,6.49,6.56,4.07,1
0.51,Ideal,D,SI1,61.9,54.0,5.14,5.2,3.19,0
1.53,Very Good,G,VS2,58.9,59.0,7.58,7.61,4.47,1
0.4,Ideal,F,VVS1,61.7,57.0,4.74,4.7,2.91,0
0.78,Premium,D,SI1,60.9,55.0,6.0,5.93,3.63,1
1.01,Good,H,VVS2,63.3,57.0,6.35,6.39,4.03,1
1.01,Premium,G,VS2,61.2,57.0,6.46,6.41,3.94,1
0.55,Premium,I,VS2,61.7,55.0,5.35,5.29,3.28,0
0.7,Fair,F,I1,66.5,62.0,5.54,5.49,3.67,0
1.2,Very Good,F,VVS1,59.8,63.0,6.82,6.8,4.07,1
0.5,Premium,E,SI1,62.4,60.0,4.98,4.96,3.1,0
0.44,Ideal,H,VS1,61.3,57.0,4.98,4.91,3.03,0
0.7,Ideal,G,SI1,61.9,57.0,5.69,5.65,3.51,0
0.53,Ideal,H,VVS2,61.8,56.0,5.22,5.2,3.22,0
1.0,Ideal,G,SI2,62.0,53.0,6.42,6.45,3.99,1
0.43,Ideal,I,SI1,60.9,57.0,4.88,4.9,2.98,0
0.5,Premium,E,VS1,58.8,62.0,5.17,5.14,3.03,0
0.72,Very Good,G,SI1,62.8,59.0,5.69,5.74,3.59,0
0.32,Ideal,G,VS1,61.2,57.0,4.4,4.43,2.7,0
1.01,Very Good,E,VS2,63.3,58.0,6.38,6.35,4.03,1
1.5,Premium,H,SI1,62.4,58.0,7.33,7.28,4.56,1
2.03,Premium,H,I1,59.4,59.0,8.31,8.22,4.91,1
1.03,Ideal,F,VVS1,62.1,56.3,6.43,6.5,4.02,1
0.25,Premium,H,VVS1,60.1,62.0,4.11,4.08,2.46,0
1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,1
1.26,Ideal,I,VS2,62.6,55.0,6.96,6.91,4.34,1
0.43,Premium,D,VS2,60.0,59.0,4.93,4.91,2.95,0
0.33,Ideal,H,VVS1,62.1,53.0,4.47,4.51,2.79,0
1.31,Very Good,G,SI2,63.4,58.0,6.91,6.8,4.35,1
1.5,Premium,H,SI2,60.2,59.0,7.43,7.35,4.45,1
1.51,Ideal,H,SI2,62.1,57.0,7.38,7.34,4.57,1
0.41,Very Good,D,VS1,63.4,56.0,4.7,4.76,3.0,0
1.0,Ideal,F,SI2,62.3,56.0,6.34,6.27,3.93,1
2.07,Good,I,SI1,63.6,58.0,8.09,7.99,5.11,1
0.41,Ideal,D,VS2,59.7,57.0,4.87,4.84,2.9,0
0.56,Ideal,F,VS2,62.1,57.0,5.29,5.28,3.28,0
0.41,Ideal,J,VS1,60.2,57.0,4.81,4.85,2.91,0
0.73,Very Good,I,VS2,62.8,59.0,5.72,5.75,3.6,0
0.64,Very Good,F,SI1,61.2,58.0,5.54,5.6,3.41,0
0.71,Ideal,E,VS1,62.3,56.0,5.69,5.74,3.56,1
1.23,Premium,I,SI2,62.4,58.0,6.86,6.82,4.27,1
0.3,Premium,G,SI1,61.6,59.0,4.28,4.26,2.63,0
0.4,Very Good,F,VVS2,61.8,56.0,4.71,4.74,2.93,0
0.31,Very Good,H,VS1,61.7,61.0,4.31,4.34,2.67,0
0.3,Ideal,G,VS2,60.8,57.0,4.38,4.33,2.65,0
0.41,Ideal,D,SI2,62.6,55.0,4.8,4.76,2.99,0
0.71,Ideal,D,VS2,63.0,56.0,5.69,5.65,3.58,1
0.52,Good,E,SI1,63.7,54.0,5.12,5.15,3.27,0
0.42,Ideal,F,VS1,62.3,55.0,4.79,4.77,2.98,0
0.41,Premium,G,VS2,61.7,61.0,4.74,4.7,2.91,0
0.73,Ideal,F,VVS2,61.9,55.2,5.74,5.79,3.58,1
0.54,Premium,D,VVS2,59.1,60.0,5.36,5.34,3.16,0
1.06,Premium,G,SI2,61.1,62.0,6.61,6.55,4.02,1
0.7,Ideal,D,SI1,62.7,56.0,5.14,5.17,3.23,0
0.33,Ideal,F,VS2,62.3,56.0,4.43,4.46,2.77,0
1.34,Ideal,F,VS2,62.5,56.0,7.09,7.05,4.42,1
0.51,Ideal,I,VS2,60.6,57.0,5.16,5.21,3.14,0
0.51,Premium,F,SI2,58.9,60.0,5.24,5.19,3.07,0
1.03,Very Good,H,SI2,61.3,56.0,6.5,6.53,3.99,1
0.52,Ideal,D,SI1,62.4,57.0,5.14,5.18,3.22,0
0.71,Very Good,H,VS1,63.9,60.0,5.54,5.6,3.56,0
1.05,Premium,F,VS2,62.3,59.0,6.5,6.46,4.04,1
2.29,Premium,I,VS2,60.8,60.0,8.5,8.47,5.16,1
0.56,Ideal,E,VS2,62.6,57.0,5.26,5.29,3.3,0
0.56,Premium,H,VS2,62.2,60.0,5.28,5.23,3.27,0
0.3,Premium,E,SI2,61.6,61.0,4.29,4.25,2.63,0
0.5,Very Good,G,VS1,63.2,59.0,5.03,5.07,3.19,0
0.51,Very Good,F,SI1,62.0,54.0,5.15,5.18,3.2,0
1.01,Premium,G,SI1,62.3,60.0,6.31,6.25,3.91,1
1.1,Premium,H,SI1,61.6,56.0,6.66,6.61,4.09,1
0.51,Ideal,D,I1,62.1,56.0,5.15,5.06,3.17,0
0.93,Premium,E,SI1,62.8,56.0,6.26,6.2,3.91,1
1.0,Premium,G,VVS2,60.5,62.0,6.44,6.39,3.88,1
0.34,Ideal,F,VS1,62.1,57.0,4.53,4.49,2.8,0
0.32,Very Good,F,VS2,63.4,57.0,4.36,4.32,2.75,0
1.01,Very Good,G,SI1,62.6,59.0,6.38,6.3,3.97,1
1.01,Good,E,SI1,61.8,64.0,6.49,6.47,3.84,1
0.32,Ideal,H,IF,61.8,56.0,4.41,4.42,2.69,0
0.36,Ideal,F,VVS2,61.5,55.0,4.59,4.62,2.83,0
0.41,Ideal,H,VS1,61.1,56.0,4.83,4.86,2.96,0
1.24,Ideal,F,VS1,60.9,54.0,6.98,6.95,4.24,1
1.0,Good,H,VS2,62.7,54.0,6.26,6.31,3.94,1
0.31,Very Good,E,SI1,63.3,55.0,4.35,4.31,2.74,0
1.0,Fair,D,SI2,64.8,60.0,6.23,6.18,4.02,1
0.4,Very Good,E,SI1,61.3,61.0,4.73,4.76,2.91,0
0.34,Ideal,E,SI1,62.2,54.0,4.5,4.47,2.79,0
0.32,Ideal,D,VS1,60.9,57.0,4.48,4.45,2.72,0
1.5,Very Good,F,VS2,61.3,61.0,7.33,7.36,4.5,1
0.64,Ideal,H,SI2,60.8,56.0,5.57,5.61,3.4,0
0.91,Premium,F,SI2,59.8,58.0,6.29,6.26,3.75,0
0.2,Premium,E,VS2,61.1,59.0,3.81,3.78,2.32,0
1.01,Very Good,D,SI2,60.8,61.0,6.45,6.5,3.94,1
0.42,Ideal,E,SI1,62.1,55.0,4.79,4.81,2.98,0
0.24,Very Good,F,VS1,63.0,58.0,3.92,3.95,2.48,0
0.87,Ideal,H,VS2,61.7,57.0,6.14,6.09,3.77,1
1.0,Very Good,E,SI2,63.5,56.0,6.38,6.31,4.03,1
1.12,Ideal,H,SI1,61.9,57.0,6.64,6.68,4.12,1
0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,0
2.09,Ideal,H,SI2,62.0,59.0,8.15,8.2,5.07,1
0.5,Ideal,F,VS2,61.2,57.0,5.1,5.13,3.13,0
0.31,Very Good,H,VS1,61.8,61.0,4.32,4.36,2.68,0
0.74,Very Good,F,SI2,63.1,55.0,5.77,5.74,3.63,0
1.19,Ideal,H,VS2,62.0,54.0,6.79,6.83,4.22,1
2.26,Very Good,H,SI2,63.2,58.0,8.38,8.26,5.26,1
0.72,Ideal,F,SI2,60.8,56.0,5.82,5.79,3.53,0
1.52,Fair,H,SI1,65.3,58.0,7.14,7.1,4.65,1
0.9,Good,J,VS2,63.9,58.0,6.15,6.08,3.91,1
0.73,Ideal,E,VVS2,61.6,55.0,5.8,5.83,3.58,1
1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,1
1.53,Premium,D,SI2,59.9,58.0,7.54,7.41,4.48,1
0.56,Ideal,D,SI1,61.9,56.0,5.24,5.29,3.26,0
1.03,Premium,D,SI2,62.3,58.0,6.5,6.4,4.03,1
1.0,Good,F,SI2,63.4,60.0,6.28,6.33,4.0,1
0.32,Ideal,D,VS1,60.3,57.0,4.42,4.44,2.67,0
0.25,Ideal,G,VS1,62.5,55.0,4.0,4.02,2.51,0
0.9,Ideal,E,SI1,63.0,56.0,6.15,6.1,3.86,1
1.54,Ideal,G,SI1,61.5,55.0,7.4,7.45,4.57,1
0.31,Premium,H,SI1,61.0,61.0,4.39,4.33,2.66,0
0.78,Ideal,F,VS2,61.3,57.0,5.91,5.93,3.63,1
0.62,Good,D,VS2,58.9,64.0,5.62,5.55,3.29,0
0.79,Premium,E,VS1,62.6,56.0,5.92,5.87,3.69,1
0.78,Ideal,I,VS1,61.5,57.0,5.88,5.92,3.63,0
1.23,Ideal,I,VS2,62.4,58.0,6.81,6.88,4.27,1
0.4,Very Good,E,SI1,62.2,56.0,4.71,4.74,2.94,0
0.37,Premium,D,VS2,61.0,59.0,4.59,4.63,2.81,0
0.73,Fair,G,SI1,65.5,56.0,5.68,5.62,3.7,0
0.44,Ideal,E,VVS1,61.1,56.0,4.91,4.94,3.01,0
2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,1
0.7,Fair,E,SI2,65.0,54.0,5.56,5.52,3.6,0
0.7,Very Good,I,SI2,61.6,56.0,7.39,7.45,4.57,1
1.2,Ideal,I,VS2,62.6,57.0,6.74,6.67,4.2,1
0.33,Ideal,I,IF,61.8,55.0,4.46,4.47,2.76,0
0.3,Ideal,F,VVS1,61.9,57.0,4.3,4.32,2.67,0
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1
0.52,Very Good,G,SI1,61.7,57.0,5.13,5.16,3.17,0
0.32,Very Good,D,VVS2,60.0,57.0,4.45,4.49,2.68,0
0.34,Good,F,VS1,60.6,63.0,4.46,4.59,2.74,0
1.2,Very Good,I,VS1,63.1,58.0,6.7,6.62,4.2,1
1.56,Premium,J,SI2,61.4,58.0,7.38,7.43,4.55,1
2.37,Ideal,H,SI2,62.1,55.0,8.52,8.54,5.3,1
0.72,Ideal,H,VS1,61.1,57.0,5.8,5.82,3.55,0
1.01,Very Good,F,VS2,62.9,56.0,6.38,6.41,4.02,1
0.52,Ideal,D,VVS2,60.4,57.0,5.25,5.28,3.18,0
0.5,Ideal,H,SI2,62.9,57.0,5.04,5.01,3.16,0
0.76,Good,I,SI1,64.1,59.0,5.75,5.73,3.68,0
0.33,Ideal,E,VS1,61.7,54.0,4.45,4.47,2.75,0
0.71,Good,F,VVS2,58.2,60.0,5.89,5.94,3.44,0
0.71,Ideal,F,VS1,62.6,55.0,5.71,5.67,3.56,0
0.65,Ideal,E,VVS2,62.1,57.0,5.55,5.6,3.46,1
1.76,Very Good,G,VVS2,61.1,59.0,7.81,7.9,4.8,1
0.91,Premium,H,SI1,61.8,58.0,6.26,6.22,3.8,1
1.21,Fair,G,SI1,64.5,56.0,6.69,6.62,4.29,1
2.01,Premium,J,SI1,60.5,59.0,8.12,8.01,4.88,1
0.32,Premium,G,VS1,62.1,55.0,4.44,4.41,2.75,0
1.5,Premium,H,VS1,62.1,59.0,7.27,7.31,4.53,1
0.58,Very Good,H,SI1,61.8,56.0,5.34,5.38,3.31,0
0.24,Ideal,E,VVS1,60.9,56.0,4.01,4.04,2.45,0
1.0,Ideal,D,VVS1,60.7,56.0,6.47,6.54,3.95,1
1.01,Good,D,SI1,64.1,60.0,6.27,6.3,4.03,1
0.77,Good,I,SI1,62.3,55.0,5.88,5.93,3.68,0
0.76,Ideal,E,VVS1,61.8,54.0,5.9,5.87,3.64,1
0.91,Good,G,VS2,63.6,58.0,6.1,6.14,3.89,1
0.31,Ideal,G,VVS2,62.4,56.0,4.31,4.35,2.7,0
0.3,Ideal,H,VVS1,62.2,57.0,4.28,4.31,2.67,0
0.93,Very Good,D,SI1,60.8,59.0,6.24,6.27,3.8,1
0.52,Premium,E,VS1,59.2,59.0,5.29,5.25,3.12,0
0.59,Ideal,G,VVS2,62.2,56.0,5.35,5.39,3.34,0
0.72,Ideal,F,VS2,61.8,56.0,5.72,5.74,3.54,1
1.0,Ideal,E,VS2,62.0,56.0,6.46,6.41,3.99,1
1.2,Ideal,D,VS2,61.4,55.0,6.87,6.78,4.19,1
0.37,Ideal,D,VS2,61.1,54.0,4.63,4.66,2.84,0
0.35,Ideal,G,VVS1,61.7,56.0,4.54,4.57,2.81,0
0.31,Ideal,H,VS1,62.6,55.0,4.35,4.31,2.71,0
0.42,Very Good,H,SI1,62.9,57.0,4.76,4.84,3.02,0
2.25,Very Good,J,SI2,58.4,63.0,8.6,8.65,5.04,1
0.3,Premium,I,VVS1,62.2,58.0,4.28,4.31,2.67,0
0.31,Premium,I,VS2,62.3,60.0,4.31,4.32,2.69,0
1.0,Good,H,VS1,60.1,62.0,6.38,6.47,3.86,1
0.41,Ideal,H,VVS1,62.2,57.0,4.78,4.74,2.96,0
1.02,Very Good,F,SI1,63.1,55.0,6.45,6.38,4.05,1
1.63,Very Good,H,SI1,62.5,58.0,7.47,7.55,4.69,1
0.5,Very Good,G,VVS1,59.6,63.0,5.16,5.11,3.06,0
0.5,Fair,H,VS2,62.4,69.0,5.07,4.99,3.14,0
0.52,Very Good,D,VS2,60.9,58.0,5.22,5.16,3.16,0
0.3,Ideal,F,VVS1,61.9,57.0,4.33,4.3,2.67,0
0.7,Ideal,I,VS1,61.5,56.0,5.71,5.75,3.52,0
0.4,Ideal,D,VS2,61.3,56.0,4.74,4.79,2.92,0
0.31,Ideal,D,VS2,62.5,56.0,4.36,4.34,2.72,0
1.13,Premium,I,VS2,62.0,58.0,6.64,6.69,4.13,1
0.91,Good,G,VS2,59.9,61.0,6.2,6.33,3.75,1
1.02,Good,F,VS2,64.2,59.0,6.4,6.28,4.07,1
1.64,Ideal,I,VS2,62.5,56.0,7.58,7.52,4.72,1
2.14,Fair,H,I1,66.4,56.0,8.0,7.92,5.29,1
0.35,Ideal,H,VS1,61.8,57.0,4.53,4.56,2.81,0
1.02,Premium,F,VS1,61.9,59.0,6.44,6.38,3.97,1
0.34,Ideal,F,VVS2,61.0,56.0,4.54,4.57,2.78,0
0.38,Premium,G,VS1,61.9,58.0,4.66,4.62,2.87,0
0.72,Good,D,SI1,63.1,55.0,5.69,5.75,3.61,0
0.51,Premium,G,SI1,61.4,58.0,5.17,5.14,3.16,0
0.32,Ideal,G,VVS1,61.1,55.0,4.46,4.48,2.73,0
0.35,Ideal,I,VS2,62.5,57.0,4.5,4.53,2.82,0
0.39,Premium,I,VVS2,63.0,56.0,4.68,4.62,2.93,0
